Dataset:     Superconductivty Data
6.65              2 (0.01%)
6.66              2 (0.01%)
6.68              1 (0.00%)
6.69              1 (0.00%)
6.7              26 (0.12%)
6.71              2 (0.01%)
6.72              5 (0.02%)
6.73              2 (0.01%)
6.75              5 (0.02%)
6.76              4 (0.02%)
6.78              3 (0.01%)
6.79              3 (0.01%)
6.8              31 (0.15%)
6.82              1 (0.00%)
6.83              1 (0.00%)
6.84              3 (0.01%)
6.85              2 (0.01%)
6.855             1 (0.00%)
6.86              4 (0.02%)
6.87              2 (0.01%)
6.88              5 (0.02%)
6.9              20 (0.09%)
6.91              2 (0.01%)
6.92              2 (0.01%)
6.93              3 (0.01%)
6.94              2 (0.01%)
6.95              9 (0.04%)
6.97              2 (0.01%)
6.98              3 (0.01%)
6.99              1 (0.00%)
7.0              72 (0.34%)
7.007             1 (0.00%)
7.01              2 (0.01%)
7.02              2 (0.01%)
7.025             1 (0.00%)
7.03              2 (0.01%)
7.035             1 (0.00%)
7.04              1 (0.00%)
7.05              6 (0.03%)
7.055             1 (0.00%)
7.06              2 (0.01%)
7.061             1 (0.00%)
7.07              2 (0.01%)
7.075             1 (0.00%)
7.09              1 (0.00%)
7.091             1 (0.00%)
7.1              28 (0.13%)
7.109             1 (0.00%)
7.11              3 (0.01%)
7.12              3 (0.01%)
7.124             1 (0.00%)
7.13              3 (0.01%)
7.134             1 (0.00%)
7.135             1 (0.00%)
7.14              1 (0.00%)
7.15              6 (0.03%)
7.16              1 (0.00%)
7.17              4 (0.02%)
7.172             1 (0.00%)
7.173             1 (0.00%)
7.175             1 (0.00%)
7.18              4 (0.02%)
7.181             2 (0.01%)
7.186             1 (0.00%)
7.19              1 (0.00%)
7.193             1 (0.00%)
7.194             1 (0.00%)
7.195             1 (0.00%)
7.2              32 (0.15%)
7.21              2 (0.01%)
7.213             1 (0.00%)
7.214             2 (0.01%)
7.22              2 (0.01%)
7.225             1 (0.00%)
7.23              1 (0.00%)
7.24              1 (0.00%)
7.25              4 (0.02%)
7.268             1 (0.00%)
7.28              4 (0.02%)
7.29              2 (0.01%)
7.3              24 (0.11%)
7.31              3 (0.01%)
7.32              2 (0.01%)
7.33              3 (0.01%)
7.34              3 (0.01%)
7.35              1 (0.00%)
7.355             1 (0.00%)
7.37              1 (0.00%)
7.38              3 (0.01%)
7.388             1 (0.00%)
7.39              2 (0.01%)
7.4              32 (0.15%)
7.42              3 (0.01%)
7.44              2 (0.01%)
7.45              3 (0.01%)
7.46              5 (0.02%)
7.49              4 (0.02%)
7.5              41 (0.19%)
7.51              2 (0.01%)
7.52              3 (0.01%)
7.53              3 (0.01%)
7.54              3 (0.01%)
7.55              2 (0.01%)
7.56              3 (0.01%)
7.58              1 (0.00%)
7.6              29 (0.14%)
7.61              3 (0.01%)
7.62              2 (0.01%)
7.63              6 (0.03%)
7.64              1 (0.00%)
7.65              1 (0.00%)
7.66              1 (0.00%)
7.67              1 (0.00%)
7.68              1 (0.00%)
7.69              4 (0.02%)
7.7              24 (0.11%)
7.71              1 (0.00%)
7.73              3 (0.01%)
7.74              1 (0.00%)
7.75              3 (0.01%)
7.76              2 (0.01%)
7.77              4 (0.02%)
7.78              1 (0.00%)
7.79              2 (0.01%)
7.8              27 (0.13%)
7.81              1 (0.00%)
7.82              1 (0.00%)
7.83              6 (0.03%)
7.84              3 (0.01%)
7.85              9 (0.04%)
7.86              3 (0.01%)
7.87              1 (0.00%)
7.88              2 (0.01%)
7.89              2 (0.01%)
7.9              20 (0.09%)
7.91              3 (0.01%)
7.92              5 (0.02%)
7.93              1 (0.00%)
7.94              1 (0.00%)
7.95              5 (0.02%)
7.96              2 (0.01%)
7.97              3 (0.01%)
7.98              1 (0.00%)
8.0              72 (0.34%)
8.01              1 (0.00%)
8.02              1 (0.00%)
8.03              1 (0.00%)
8.035             1 (0.00%)
8.04              2 (0.01%)
8.05              2 (0.01%)
8.06              3 (0.01%)
8.07              1 (0.00%)
8.08              1 (0.00%)
8.09              1 (0.00%)
8.1              22 (0.10%)
8.11              1 (0.00%)
8.111             1 (0.00%)
8.12              2 (0.01%)
8.13              1 (0.00%)
8.14              1 (0.00%)
8.15              4 (0.02%)
8.174             2 (0.01%)
8.18              2 (0.01%)
8.19              1 (0.00%)
8.2              31 (0.15%)
8.21              1 (0.00%)
8.22              2 (0.01%)
8.23              1 (0.00%)
8.24              1 (0.00%)
8.25              3 (0.01%)
8.26              1 (0.00%)
8.27              3 (0.01%)
8.28              3 (0.01%)
8.29              3 (0.01%)
8.3              29 (0.14%)
8.31              1 (0.00%)
8.32              2 (0.01%)
8.33              1 (0.00%)
8.35              3 (0.01%)
8.39              1 (0.00%)
8.4              24 (0.11%)
8.42              2 (0.01%)
8.43              2 (0.01%)
8.45              4 (0.02%)
8.46              1 (0.00%)
8.465             1 (0.00%)
8.47              1 (0.00%)
8.48              1 (0.00%)
8.5              40 (0.19%)
8.52              1 (0.00%)
8.53              1 (0.00%)
8.54              2 (0.01%)
8.545             1 (0.00%)
8.55              2 (0.01%)
8.56              5 (0.02%)
8.58              4 (0.02%)
8.59              1 (0.00%)
8.6              26 (0.12%)
8.61              1 (0.00%)
8.62              1 (0.00%)
8.63              1 (0.00%)
8.65              3 (0.01%)
8.66              3 (0.01%)
8.67              2 (0.01%)
8.68              2 (0.01%)
8.69              1 (0.00%)
8.7              28 (0.13%)
8.71              3 (0.01%)
8.72              4 (0.02%)
8.73              1 (0.00%)
8.74              3 (0.01%)
8.75              1 (0.00%)
8.76              4 (0.02%)
8.77              6 (0.03%)
8.78              2 (0.01%)
8.79              1 (0.00%)
8.8              26 (0.12%)
8.81              3 (0.01%)
8.83              1 (0.00%)
8.85              4 (0.02%)
8.86              4 (0.02%)
8.87              3 (0.01%)
8.9              23 (0.11%)
8.91              1 (0.00%)
8.92              1 (0.00%)
8.94              2 (0.01%)
8.95              3 (0.01%)
8.96              1 (0.00%)
8.98              1 (0.00%)
8.99              2 (0.01%)
9.0              55 (0.26%)
9.01              1 (0.00%)
9.02              1 (0.00%)
9.03              4 (0.02%)
9.04              1 (0.00%)
9.05              4 (0.02%)
9.06              1 (0.00%)
9.07              1 (0.00%)
9.079             1 (0.00%)
9.09              3 (0.01%)
9.1              16 (0.08%)
9.11              2 (0.01%)
9.12              1 (0.00%)
9.15              2 (0.01%)
9.16              2 (0.01%)
9.17              1 (0.00%)
9.18              3 (0.01%)
9.19              3 (0.01%)
9.2              26 (0.12%)
9.21              1 (0.00%)
9.22              1 (0.00%)
9.226             1 (0.00%)
9.23              3 (0.01%)
9.24              2 (0.01%)
9.25              8 (0.04%)
9.26              3 (0.01%)
9.27              2 (0.01%)
9.273             1 (0.00%)
9.275             1 (0.00%)
9.3              11 (0.05%)
9.31              1 (0.00%)
9.33              2 (0.01%)
9.34              2 (0.01%)
9.35              2 (0.01%)
9.38              1 (0.00%)
9.39              1 (0.00%)
9.4              19 (0.09%)
9.41              3 (0.01%)
9.42              1 (0.00%)
9.45              6 (0.03%)
9.46              2 (0.01%)
9.47              1 (0.00%)
9.48              1 (0.00%)
9.49              2 (0.01%)
9.5              30 (0.14%)
9.51              3 (0.01%)
9.52              1 (0.00%)
9.53              2 (0.01%)
9.54              2 (0.01%)
9.55              2 (0.01%)
9.58              3 (0.01%)
9.6              22 (0.10%)
9.61              1 (0.00%)
9.62              2 (0.01%)
9.64              2 (0.01%)
9.65              4 (0.02%)
9.67              3 (0.01%)
9.7              21 (0.10%)
9.71              1 (0.00%)
9.715             1 (0.00%)
9.73              2 (0.01%)
9.75              3 (0.01%)
9.76              2 (0.01%)
9.77              1 (0.00%)
9.78              3 (0.01%)
9.8              32 (0.15%)
9.81              1 (0.00%)
9.82              3 (0.01%)
9.83              1 (0.00%)
9.84              2 (0.01%)
9.85              4 (0.02%)
9.86              3 (0.01%)
9.87              1 (0.00%)
9.88              1 (0.00%)
9.89              1 (0.00%)
9.9              12 (0.06%)
9.91              1 (0.00%)
9.92              2 (0.01%)
9.93              2 (0.01%)
9.94              1 (0.00%)
9.95              3 (0.01%)
9.96              7 (0.03%)
9.97              3 (0.01%)
9.99              1 (0.00%)
10.0             92 (0.43%)
10.01             1 (0.00%)
10.02             2 (0.01%)
10.04             1 (0.00%)
10.05             2 (0.01%)
10.1             31 (0.15%)
10.16             2 (0.01%)
10.2             33 (0.16%)
10.21             1 (0.00%)
10.23             1 (0.00%)
10.25             4 (0.02%)
10.26             1 (0.00%)
10.27             1 (0.00%)
10.3             27 (0.13%)
10.35             2 (0.01%)
10.4             21 (0.10%)
10.43             1 (0.00%)
10.45             2 (0.01%)
10.475            1 (0.00%)
10.5             43 (0.20%)
10.53             1 (0.00%)
10.56             4 (0.02%)
10.58             3 (0.01%)
10.591            1 (0.00%)
10.6             31 (0.15%)
10.65             1 (0.00%)
10.66             1 (0.00%)
10.67             1 (0.00%)
10.7             20 (0.09%)
10.74             2 (0.01%)
10.75             2 (0.01%)
10.79             1 (0.00%)
10.8             34 (0.16%)
10.87             1 (0.00%)
10.88             1 (0.00%)
10.9             22 (0.10%)
10.92             2 (0.01%)
10.95             1 (0.00%)
10.96             3 (0.01%)
10.99             1 (0.00%)
11.0             89 (0.42%)
11.02             2 (0.01%)
11.05             1 (0.00%)
11.07             1 (0.00%)
11.08             1 (0.00%)
11.1             24 (0.11%)
11.17             1 (0.00%)
11.18             1 (0.00%)
11.2             23 (0.11%)
11.22             1 (0.00%)
11.23             2 (0.01%)
11.24             1 (0.00%)
11.249            1 (0.00%)
11.25             2 (0.01%)
11.3             26 (0.12%)
11.32             1 (0.00%)
11.34             1 (0.00%)
11.36             1 (0.00%)
11.4             11 (0.05%)
11.42             1 (0.00%)
11.43             1 (0.00%)
11.45             2 (0.01%)
11.46             1 (0.00%)
11.48             1 (0.00%)
11.5             29 (0.14%)
11.55             1 (0.00%)
11.56             1 (0.00%)
11.57             1 (0.00%)
11.6             23 (0.11%)
11.62             1 (0.00%)
11.64             1 (0.00%)
11.65             1 (0.00%)
11.67             1 (0.00%)
11.673            1 (0.00%)
11.69             1 (0.00%)
11.7             22 (0.10%)
11.73             1 (0.00%)
11.75             2 (0.01%)
11.76             1 (0.00%)
11.77             1 (0.00%)
11.8             21 (0.10%)
11.83             1 (0.00%)
11.84             2 (0.01%)
11.85             2 (0.01%)
11.89             1 (0.00%)
11.9             18 (0.08%)
11.92             1 (0.00%)
11.97             1 (0.00%)
12.0             83 (0.39%)
12.01             1 (0.00%)
12.1             21 (0.10%)
12.14             1 (0.00%)
12.15             2 (0.01%)
12.2             25 (0.12%)
12.22             1 (0.00%)
12.25             1 (0.00%)
12.27             1 (0.00%)
12.3             21 (0.10%)
12.33             1 (0.00%)
12.34             1 (0.00%)
12.4              9 (0.04%)
12.44             1 (0.00%)
12.45             1 (0.00%)
12.5             32 (0.15%)
12.54             1 (0.00%)
12.6             13 (0.06%)
12.66             1 (0.00%)
12.7             23 (0.11%)
12.8             19 (0.09%)
12.85             1 (0.00%)
12.9             16 (0.08%)
12.93             1 (0.00%)
13.0             82 (0.39%)
13.02             2 (0.01%)
13.05             3 (0.01%)
13.1             11 (0.05%)
13.2             17 (0.08%)
13.28             1 (0.00%)
13.3             22 (0.10%)
13.32             1 (0.00%)
13.35             1 (0.00%)
13.4             16 (0.08%)
13.42             1 (0.00%)
13.45             1 (0.00%)
13.475            1 (0.00%)
13.48             1 (0.00%)
13.5             39 (0.18%)
13.56             2 (0.01%)
13.6             22 (0.10%)
13.635            1 (0.00%)
13.65             1 (0.00%)
13.7             24 (0.11%)
13.8             24 (0.11%)
13.82             1 (0.00%)
13.87             1 (0.00%)
13.9             24 (0.11%)
13.98             1 (0.00%)
14.0             82 (0.39%)
14.03             1 (0.00%)
14.048            1 (0.00%)
14.05             1 (0.00%)
14.1             19 (0.09%)
14.125            1 (0.00%)
14.19             1 (0.00%)
14.2             18 (0.08%)
14.25             1 (0.00%)
14.3             16 (0.08%)
14.38             1 (0.00%)
14.4             25 (0.12%)
14.42             1 (0.00%)
14.45             1 (0.00%)
14.5             26 (0.12%)
14.51             1 (0.00%)
14.55             1 (0.00%)
14.6             16 (0.08%)
14.68             1 (0.00%)
14.7             15 (0.07%)
14.72             1 (0.00%)
14.75             1 (0.00%)
14.79             1 (0.00%)
14.8             18 (0.08%)
14.85             1 (0.00%)
14.9             13 (0.06%)
14.91             1 (0.00%)
14.96             1 (0.00%)
15.0             99 (0.47%)
15.05             1 (0.00%)
15.1             14 (0.07%)
15.14             1 (0.00%)
15.2             24 (0.11%)
15.23             2 (0.01%)
15.3             10 (0.05%)
15.32             1 (0.00%)
15.4             17 (0.08%)
15.41             1 (0.00%)
15.45             2 (0.01%)
15.48             2 (0.01%)
15.5             21 (0.10%)
15.55             3 (0.01%)
15.56             1 (0.00%)
15.6             24 (0.11%)
15.65             1 (0.00%)
15.7             13 (0.06%)
15.75             4 (0.02%)
15.76             1 (0.00%)
15.8             21 (0.10%)
15.82             1 (0.00%)
15.89             2 (0.01%)
15.9             13 (0.06%)
15.92             1 (0.00%)
15.94             1 (0.00%)
15.96             1 (0.00%)
16.0             80 (0.38%)
16.01             1 (0.00%)
16.04             2 (0.01%)
16.09             1 (0.00%)
16.1             16 (0.08%)
16.12             1 (0.00%)
16.18             1 (0.00%)
16.2             16 (0.08%)
16.25             2 (0.01%)
16.3             20 (0.09%)
16.35             2 (0.01%)
16.4             23 (0.11%)
16.45             2 (0.01%)
16.48             1 (0.00%)
16.5             34 (0.16%)
16.6             16 (0.08%)
16.65             1 (0.00%)
16.7             10 (0.05%)
16.75             1 (0.00%)
16.76             1 (0.00%)
16.8             16 (0.08%)
16.83             1 (0.00%)
16.84             2 (0.01%)
16.85             1 (0.00%)
16.86             1 (0.00%)
16.89             1 (0.00%)
16.9             13 (0.06%)
16.95             2 (0.01%)
16.97             1 (0.00%)
16.98             1 (0.00%)
17.0             67 (0.32%)
17.04             1 (0.00%)
17.1             17 (0.08%)
17.11             1 (0.00%)
17.15             1 (0.00%)
17.2             21 (0.10%)
17.22             1 (0.00%)
17.3             20 (0.09%)
17.4             16 (0.08%)
17.45             1 (0.00%)
17.5             19 (0.09%)
17.53             1 (0.00%)
17.6             19 (0.09%)
17.61             1 (0.00%)
17.64             1 (0.00%)
17.65             1 (0.00%)
17.7             17 (0.08%)
17.75             1 (0.00%)
17.77             1 (0.00%)
17.8             32 (0.15%)
17.81             1 (0.00%)
17.82             1 (0.00%)
17.832            1 (0.00%)
17.84             1 (0.00%)
17.88             1 (0.00%)
17.9             19 (0.09%)
17.91             1 (0.00%)
17.93             1 (0.00%)
17.97             2 (0.01%)
17.98             2 (0.01%)
17.99             1 (0.00%)
18.0             87 (0.41%)
18.01             3 (0.01%)
18.04             1 (0.00%)
18.05             4 (0.02%)
18.06             2 (0.01%)
18.07             2 (0.01%)
18.1             23 (0.11%)
18.11             1 (0.00%)
18.12             1 (0.00%)
18.14             1 (0.00%)
18.16             1 (0.00%)
18.18             1 (0.00%)
18.19             1 (0.00%)
18.2             16 (0.08%)
18.23             1 (0.00%)
18.24             1 (0.00%)
18.25             2 (0.01%)
18.26             1 (0.00%)
18.28             2 (0.01%)
18.3             22 (0.10%)
18.4             17 (0.08%)
18.41             1 (0.00%)
18.45             1 (0.00%)
18.5             18 (0.08%)
18.52             1 (0.00%)
18.54             1 (0.00%)
18.55             1 (0.00%)
18.6             18 (0.08%)
18.7             11 (0.05%)
18.75             1 (0.00%)
18.8              7 (0.03%)
18.83             1 (0.00%)
18.85             1 (0.00%)
18.9             13 (0.06%)
18.95             1 (0.00%)
18.96             1 (0.00%)
19.0             56 (0.26%)
19.08             1 (0.00%)
19.09             1 (0.00%)
19.1             11 (0.05%)
19.2             14 (0.07%)
19.3             11 (0.05%)
19.4              9 (0.04%)
19.45             2 (0.01%)
19.5             24 (0.11%)
19.55             1 (0.00%)
19.6             12 (0.06%)
19.61             1 (0.00%)
19.7             14 (0.07%)
19.75             1 (0.00%)
19.8             23 (0.11%)
19.85             1 (0.00%)
19.9             10 (0.05%)
19.95             1 (0.00%)
20.0            129 (0.61%)
20.05             1 (0.00%)
20.1              7 (0.03%)
20.19             1 (0.00%)
20.2             14 (0.07%)
20.26             1 (0.00%)
20.29             2 (0.01%)
20.3             13 (0.06%)
20.34             1 (0.00%)
20.35             1 (0.00%)
20.4              9 (0.04%)
20.46             1 (0.00%)
20.5             14 (0.07%)
20.55             1 (0.00%)
20.6              8 (0.04%)
20.65             1 (0.00%)
20.7              7 (0.03%)
20.75             2 (0.01%)
20.8              1 (0.00%)
20.86             1 (0.00%)
20.9              7 (0.03%)
20.95             1 (0.00%)
21.0             80 (0.38%)
21.02             1 (0.00%)
21.1             12 (0.06%)
21.14             1 (0.00%)
21.2             17 (0.08%)
21.3              9 (0.04%)
21.4              9 (0.04%)
21.5             18 (0.08%)
21.6              7 (0.03%)
21.7             10 (0.05%)
21.75             1 (0.00%)
21.8             14 (0.07%)
21.87             1 (0.00%)
21.9              9 (0.04%)
21.96             2 (0.01%)
22.0             79 (0.37%)
22.1             18 (0.08%)
22.2             10 (0.05%)
22.25             1 (0.00%)
22.29             1 (0.00%)
22.3              6 (0.03%)
22.36             1 (0.00%)
22.38             1 (0.00%)
22.4              8 (0.04%)
22.46             1 (0.00%)
22.5             19 (0.09%)
22.6             12 (0.06%)
22.7             10 (0.05%)
22.8             12 (0.06%)
22.9             11 (0.05%)
23.0             74 (0.35%)
23.02             1 (0.00%)
23.1              6 (0.03%)
23.12             1 (0.00%)
23.2              8 (0.04%)
23.21             1 (0.00%)
23.3             12 (0.06%)
23.32             1 (0.00%)
23.35             1 (0.00%)
23.36             1 (0.00%)
23.4              9 (0.04%)
23.45             1 (0.00%)
23.5             23 (0.11%)
23.6             14 (0.07%)
23.7              7 (0.03%)
23.71             1 (0.00%)
23.76             1 (0.00%)
23.8              5 (0.02%)
23.81             1 (0.00%)
23.9              7 (0.03%)
24.0             84 (0.40%)
24.1              5 (0.02%)
24.2             11 (0.05%)
24.24             1 (0.00%)
24.25             1 (0.00%)
24.3              8 (0.04%)
24.4              4 (0.02%)
24.5             11 (0.05%)
24.6              9 (0.04%)
24.7              5 (0.02%)
24.73             1 (0.00%)
24.761            1 (0.00%)
24.8              6 (0.03%)
24.86             1 (0.00%)
24.9              9 (0.04%)
25.0             96 (0.45%)
25.05             1 (0.00%)
25.1             10 (0.05%)
25.15             1 (0.00%)
25.2             14 (0.07%)
25.3              8 (0.04%)
25.4              9 (0.04%)
25.5             22 (0.10%)
25.6             14 (0.07%)
25.61             1 (0.00%)
25.7              9 (0.04%)
25.77             1 (0.00%)
25.8              8 (0.04%)
25.9              7 (0.03%)
26.0             71 (0.33%)
26.05             1 (0.00%)
26.1              8 (0.04%)
26.2             10 (0.05%)
26.25             4 (0.02%)
26.3              8 (0.04%)
26.4             10 (0.05%)
26.44             1 (0.00%)
26.5             13 (0.06%)
26.6              2 (0.01%)
26.7              7 (0.03%)
26.75             1 (0.00%)
26.8              6 (0.03%)
26.85             2 (0.01%)
26.9              9 (0.04%)
26.95             1 (0.00%)
27.0             76 (0.36%)
27.05             1 (0.00%)
27.1             11 (0.05%)
27.11             1 (0.00%)
27.2              4 (0.02%)
27.25             1 (0.00%)
27.3              5 (0.02%)
27.4              8 (0.04%)
27.5             19 (0.09%)
27.57             1 (0.00%)
27.6              6 (0.03%)
27.7              5 (0.02%)
27.8             10 (0.05%)
27.81             1 (0.00%)
27.84             2 (0.01%)
27.85             1 (0.00%)
27.86             1 (0.00%)
27.89             1 (0.00%)
27.9              9 (0.04%)
28.0             89 (0.42%)
28.1              9 (0.04%)
28.2              4 (0.02%)
28.26             1 (0.00%)
28.3             12 (0.06%)
28.4             14 (0.07%)
28.5             24 (0.11%)
28.575            1 (0.00%)
28.6             13 (0.06%)
28.65             1 (0.00%)
28.7             10 (0.05%)
28.8              7 (0.03%)
28.9              7 (0.03%)
28.92             1 (0.00%)
29.0             66 (0.31%)
29.05             1 (0.00%)
29.1             13 (0.06%)
29.2             12 (0.06%)
29.3             12 (0.06%)
29.35             2 (0.01%)
29.4             14 (0.07%)
29.5             20 (0.09%)
29.55             1 (0.00%)
29.57             1 (0.00%)
29.6             10 (0.05%)
29.7              7 (0.03%)
29.75             2 (0.01%)
29.8             11 (0.05%)
29.9              9 (0.04%)
30.0            125 (0.59%)
30.05             1 (0.00%)
30.07             1 (0.00%)
30.1             14 (0.07%)
30.15             2 (0.01%)
30.2              6 (0.03%)
30.28             1 (0.00%)
30.3             12 (0.06%)
30.31             1 (0.00%)
30.35             1 (0.00%)
30.4             12 (0.06%)
30.45             1 (0.00%)
30.5             19 (0.09%)
30.57             1 (0.00%)
30.6             10 (0.05%)
30.69             1 (0.00%)
30.7              6 (0.03%)
30.8              8 (0.04%)
30.82             1 (0.00%)
30.9             10 (0.05%)
31.0             60 (0.28%)
31.05             2 (0.01%)
31.1             11 (0.05%)
31.2              6 (0.03%)
31.3              8 (0.04%)
31.35             2 (0.01%)
31.4              9 (0.04%)
31.47             1 (0.00%)
31.5             20 (0.09%)
31.6             11 (0.05%)
31.7              8 (0.04%)
31.75             2 (0.01%)
31.8             11 (0.05%)
31.9              6 (0.03%)
32.0            104 (0.49%)
32.1              7 (0.03%)
32.17             1 (0.00%)
32.2             10 (0.05%)
32.25             1 (0.00%)
32.28             1 (0.00%)
32.3              5 (0.02%)
32.4             10 (0.05%)
32.5             20 (0.09%)
32.6              9 (0.04%)
32.7              4 (0.02%)
32.8              6 (0.03%)
32.83             1 (0.00%)
32.85             2 (0.01%)
32.9              8 (0.04%)
33.0             74 (0.35%)
33.1              9 (0.04%)
33.15             2 (0.01%)
33.2              6 (0.03%)
33.3              7 (0.03%)
33.4              5 (0.02%)
33.5             14 (0.07%)
33.54             1 (0.00%)
33.6              7 (0.03%)
33.65             1 (0.00%)
33.7              3 (0.01%)
33.8              2 (0.01%)
33.9              8 (0.04%)
33.98             1 (0.00%)
34.0             81 (0.38%)
34.1              5 (0.02%)
34.16             1 (0.00%)
34.2              8 (0.04%)
34.25             1 (0.00%)
34.27             1 (0.00%)
34.3              8 (0.04%)
34.4              8 (0.04%)
34.41             1 (0.00%)
34.44             1 (0.00%)
34.45             1 (0.00%)
34.5             11 (0.05%)
34.6              4 (0.02%)
34.61             1 (0.00%)
34.62             1 (0.00%)
34.7              7 (0.03%)
34.8             11 (0.05%)
34.85             1 (0.00%)
34.9              9 (0.04%)
35.0            102 (0.48%)
35.1             10 (0.05%)
35.2             10 (0.05%)
35.3              5 (0.02%)
35.4              5 (0.02%)
35.45             1 (0.00%)
35.5             13 (0.06%)
35.55             1 (0.00%)
35.6              6 (0.03%)
35.7              9 (0.04%)
35.8              8 (0.04%)
35.9             11 (0.05%)
36.0             61 (0.29%)
36.1              6 (0.03%)
36.2              9 (0.04%)
36.3              5 (0.02%)
36.35             3 (0.01%)
36.4             10 (0.05%)
36.48             1 (0.00%)
36.5             16 (0.08%)
36.55             2 (0.01%)
36.585            1 (0.00%)
36.6             11 (0.05%)
36.7             11 (0.05%)
36.8              7 (0.03%)
36.9             11 (0.05%)
36.95             1 (0.00%)
37.0             69 (0.32%)
37.1              3 (0.01%)
37.14             1 (0.00%)
37.2              5 (0.02%)
37.3              9 (0.04%)
37.4             11 (0.05%)
37.43             1 (0.00%)
37.5             25 (0.12%)
37.57             1 (0.00%)
37.58             1 (0.00%)
37.6              8 (0.04%)
37.7              7 (0.03%)
37.75             3 (0.01%)
37.76             1 (0.00%)
37.78             1 (0.00%)
37.8             16 (0.08%)
37.9              9 (0.04%)
37.94             1 (0.00%)
38.0             74 (0.35%)
38.05             1 (0.00%)
38.1              3 (0.01%)
38.11             1 (0.00%)
38.14             1 (0.00%)
38.2              7 (0.03%)
38.25             2 (0.01%)
38.3              6 (0.03%)
38.4             12 (0.06%)
38.5             11 (0.05%)
38.6             10 (0.05%)
38.7              7 (0.03%)
38.73             1 (0.00%)
38.8              8 (0.04%)
38.81             1 (0.00%)
38.9              4 (0.02%)
39.0             41 (0.19%)
39.06             1 (0.00%)
39.1              4 (0.02%)
39.2              4 (0.02%)
39.22             1 (0.00%)
39.3              9 (0.04%)
39.36             1 (0.00%)
39.4              2 (0.01%)
39.44             1 (0.00%)
39.5              4 (0.02%)
39.6              7 (0.03%)
39.785            1 (0.00%)
39.8              4 (0.02%)
39.87             1 (0.00%)
39.9              4 (0.02%)
40.0            111 (0.52%)
40.05             1 (0.00%)
40.1              6 (0.03%)
40.2              4 (0.02%)
40.21             1 (0.00%)
40.23             1 (0.00%)
40.25             1 (0.00%)
40.3              3 (0.01%)
40.36             1 (0.00%)
40.4              3 (0.01%)
40.5              6 (0.03%)
40.6              4 (0.02%)
40.7              6 (0.03%)
40.75             1 (0.00%)
40.8              2 (0.01%)
40.87             1 (0.00%)
40.9              5 (0.02%)
41.0             43 (0.20%)
41.1              6 (0.03%)
41.2              7 (0.03%)
41.26             1 (0.00%)
41.3              6 (0.03%)
41.4              3 (0.01%)
41.5             11 (0.05%)
41.6              2 (0.01%)
41.7              1 (0.00%)
41.8              4 (0.02%)
41.9              3 (0.01%)
42.0             43 (0.20%)
42.05             1 (0.00%)
42.1              2 (0.01%)
42.2              2 (0.01%)
42.3              3 (0.01%)
42.4              6 (0.03%)
42.5              4 (0.02%)
42.6              3 (0.01%)
42.7              3 (0.01%)
42.8              4 (0.02%)
42.9              1 (0.00%)
43.0             44 (0.21%)
43.05             1 (0.00%)
43.1              5 (0.02%)
43.2              2 (0.01%)
43.25             1 (0.00%)
43.3              3 (0.01%)
43.4              2 (0.01%)
43.5             13 (0.06%)
43.6              4 (0.02%)
43.8              5 (0.02%)
43.9              3 (0.01%)
44.0             38 (0.18%)
44.1              4 (0.02%)
44.2              3 (0.01%)
44.3              3 (0.01%)
44.4              3 (0.01%)
44.5              2 (0.01%)
44.55             1 (0.00%)
44.6              2 (0.01%)
44.62             1 (0.00%)
44.7              3 (0.01%)
44.8              3 (0.01%)
44.9              3 (0.01%)
45.0             83 (0.39%)
45.1              4 (0.02%)
45.2              6 (0.03%)
45.3              8 (0.04%)
45.4              5 (0.02%)
45.5              3 (0.01%)
45.53             1 (0.00%)
45.6              2 (0.01%)
45.7              5 (0.02%)
45.8              3 (0.01%)
45.9              2 (0.01%)
46.0             32 (0.15%)
46.1              1 (0.00%)
46.18             1 (0.00%)
46.2              2 (0.01%)
46.3              1 (0.00%)
46.4              3 (0.01%)
46.5              4 (0.02%)
46.6              3 (0.01%)
46.7              1 (0.00%)
46.8              4 (0.02%)
46.9              1 (0.00%)
47.0             43 (0.20%)
47.02             1 (0.00%)
47.1              2 (0.01%)
47.2              5 (0.02%)
47.3              4 (0.02%)
47.4              4 (0.02%)
47.5             11 (0.05%)
47.6              4 (0.02%)
47.7              2 (0.01%)
47.73             1 (0.00%)
47.8              4 (0.02%)
47.9              3 (0.01%)
48.0             35 (0.16%)
48.05             1 (0.00%)
48.1              1 (0.00%)
48.2              1 (0.00%)
48.3              3 (0.01%)
48.35             1 (0.00%)
48.4              1 (0.00%)
48.5              5 (0.02%)
48.55             1 (0.00%)
48.6              3 (0.01%)
48.7              3 (0.01%)
48.8              2 (0.01%)
48.9              4 (0.02%)
49.0             33 (0.16%)
49.1              2 (0.01%)
49.2              1 (0.00%)
49.25             1 (0.00%)
49.3              4 (0.02%)
49.35             1 (0.00%)
49.4              3 (0.01%)
49.5              4 (0.02%)
49.6              3 (0.01%)
49.7              4 (0.02%)
49.8              2 (0.01%)
49.9              4 (0.02%)
50.0             80 (0.38%)
50.03             1 (0.00%)
50.08             1 (0.00%)
50.09             1 (0.00%)
50.1             10 (0.05%)
50.2              2 (0.01%)
50.3              2 (0.01%)
50.33             1 (0.00%)
50.4              6 (0.03%)
50.5              2 (0.01%)
