Dataset:     Airfoil Self-Noise
129.58            1 (0.07%)
129.633           1 (0.07%)
129.645           1 (0.07%)
129.653           1 (0.07%)
129.667           1 (0.07%)
129.673           1 (0.07%)
129.675           1 (0.07%)
129.68            1 (0.07%)
129.681           1 (0.07%)
129.691           1 (0.07%)
129.744           1 (0.07%)
129.776           1 (0.07%)
129.777           1 (0.07%)
129.8             1 (0.07%)
129.848           1 (0.07%)
129.864           1 (0.07%)
129.867           1 (0.07%)
129.869           1 (0.07%)
129.88            1 (0.07%)
129.889           1 (0.07%)
129.934           1 (0.07%)
129.937           1 (0.07%)
129.946           1 (0.07%)
129.949           1 (0.07%)
129.953           1 (0.07%)
129.964           1 (0.07%)
129.965           1 (0.07%)
129.969           1 (0.07%)
129.973           1 (0.07%)
129.977           1 (0.07%)
129.991           1 (0.07%)
130.0             1 (0.07%)
130.026           1 (0.07%)
130.033           1 (0.07%)
130.049           1 (0.07%)
130.05            1 (0.07%)
130.065           1 (0.07%)
130.073           1 (0.07%)
130.086           1 (0.07%)
130.089           1 (0.07%)
130.114           1 (0.07%)
130.123           1 (0.07%)
130.144           1 (0.07%)
130.148           1 (0.07%)
130.156           2 (0.13%)
130.173           1 (0.07%)
130.183           1 (0.07%)
130.195           1 (0.07%)
130.197           1 (0.07%)
130.205           1 (0.07%)
130.206           1 (0.07%)
130.217           1 (0.07%)
130.239           1 (0.07%)
130.269           1 (0.07%)
130.299           1 (0.07%)
130.307           2 (0.13%)
130.311           1 (0.07%)
130.332           1 (0.07%)
130.335           1 (0.07%)
130.34            1 (0.07%)
130.348           1 (0.07%)
130.349           1 (0.07%)
130.374           1 (0.07%)
130.392           1 (0.07%)
130.4             1 (0.07%)
130.43            1 (0.07%)
130.435           1 (0.07%)
130.46            1 (0.07%)
130.469           1 (0.07%)
130.477           1 (0.07%)
130.496           1 (0.07%)
130.503           1 (0.07%)
130.507           1 (0.07%)
130.541           1 (0.07%)
130.558           1 (0.07%)
130.567           1 (0.07%)
130.588           1 (0.07%)
130.589           1 (0.07%)
130.595           1 (0.07%)
130.614           1 (0.07%)
130.629           1 (0.07%)
130.638           1 (0.07%)
130.644           1 (0.07%)
130.67            1 (0.07%)
130.688           1 (0.07%)
130.697           1 (0.07%)
130.715           1 (0.07%)
130.722           1 (0.07%)
130.723           1 (0.07%)
130.725           1 (0.07%)
130.746           1 (0.07%)
130.748           1 (0.07%)
130.777           2 (0.13%)
130.781           1 (0.07%)
130.787           1 (0.07%)
130.791           1 (0.07%)
130.795           1 (0.07%)
130.817           1 (0.07%)
130.828           1 (0.07%)
130.829           1 (0.07%)
130.845           1 (0.07%)
130.869           1 (0.07%)
130.89            1 (0.07%)
130.893           1 (0.07%)
130.898           1 (0.07%)
130.908           1 (0.07%)
130.934           1 (0.07%)
130.935           1 (0.07%)
130.94            1 (0.07%)
130.947           1 (0.07%)
130.955           1 (0.07%)
130.96            1 (0.07%)
130.961           1 (0.07%)
130.964           1 (0.07%)
130.965           1 (0.07%)
130.987           1 (0.07%)
130.989           1 (0.07%)
131.01            1 (0.07%)
131.013           1 (0.07%)
131.015           1 (0.07%)
131.023           1 (0.07%)
131.036           1 (0.07%)
131.06            1 (0.07%)
131.073           1 (0.07%)
131.074           1 (0.07%)
131.111           1 (0.07%)
131.129           1 (0.07%)
131.184           1 (0.07%)
131.186           1 (0.07%)
131.205           1 (0.07%)
131.221           1 (0.07%)
131.234           1 (0.07%)
131.236           1 (0.07%)
131.264           1 (0.07%)
131.274           1 (0.07%)
131.279           1 (0.07%)
131.281           1 (0.07%)
131.31            1 (0.07%)
131.313           1 (0.07%)
131.346           2 (0.13%)
131.362           1 (0.07%)
131.364           1 (0.07%)
131.43            1 (0.07%)
131.434           1 (0.07%)
131.446           1 (0.07%)
131.448           1 (0.07%)
131.453           1 (0.07%)
131.456           1 (0.07%)
131.458           1 (0.07%)
131.467           1 (0.07%)
131.471           1 (0.07%)
131.491           1 (0.07%)
131.515           1 (0.07%)
131.518           1 (0.07%)
131.542           1 (0.07%)
131.568           1 (0.07%)
131.582           1 (0.07%)
131.605           1 (0.07%)
131.615           1 (0.07%)
131.636           1 (0.07%)
131.642           1 (0.07%)
131.656           1 (0.07%)
131.698           1 (0.07%)
131.708           1 (0.07%)
131.718           1 (0.07%)
131.725           1 (0.07%)
131.755           1 (0.07%)
131.78            1 (0.07%)
131.796           1 (0.07%)
131.8             1 (0.07%)
131.807           2 (0.13%)
131.808           1 (0.07%)
131.817           1 (0.07%)
131.836           1 (0.07%)
131.864           1 (0.07%)
131.865           1 (0.07%)
131.889           1 (0.07%)
131.918           1 (0.07%)
131.92            1 (0.07%)
131.955           2 (0.13%)
131.96            1 (0.07%)
131.966           1 (0.07%)
131.971           1 (0.07%)
131.978           1 (0.07%)
132.003           1 (0.07%)
132.011           1 (0.07%)
132.039           1 (0.07%)
132.043           1 (0.07%)
132.05            1 (0.07%)
132.086           1 (0.07%)
132.095           1 (0.07%)
132.114           1 (0.07%)
132.116           1 (0.07%)
132.118           1 (0.07%)
132.127           1 (0.07%)
132.134           1 (0.07%)
132.149           1 (0.07%)
132.158           1 (0.07%)
132.184           1 (0.07%)
132.202           1 (0.07%)
132.251           1 (0.07%)
132.252           1 (0.07%)
132.271           1 (0.07%)
132.301           1 (0.07%)
132.304           2 (0.13%)
132.354           1 (0.07%)
132.355           1 (0.07%)
132.357           1 (0.07%)
132.358           1 (0.07%)
132.395           1 (0.07%)
132.43            1 (0.07%)
132.513           1 (0.07%)
132.54            1 (0.07%)
132.587           1 (0.07%)
132.588           1 (0.07%)
132.595           1 (0.07%)
132.611           1 (0.07%)
132.658           1 (0.07%)
132.757           1 (0.07%)
132.769           1 (0.07%)
132.793           1 (0.07%)
132.796           1 (0.07%)
132.828           1 (0.07%)
132.886           1 (0.07%)
132.889           1 (0.07%)
132.897           1 (0.07%)
132.898           1 (0.07%)
132.918           1 (0.07%)
133.01            1 (0.07%)
133.012           1 (0.07%)
133.023           1 (0.07%)
133.032           1 (0.07%)
133.04            2 (0.13%)
133.042           1 (0.07%)
133.048           1 (0.07%)
133.062           1 (0.07%)
133.063           1 (0.07%)
133.071           1 (0.07%)
133.097           1 (0.07%)
133.13            1 (0.07%)
133.153           1 (0.07%)
133.174           1 (0.07%)
133.198           1 (0.07%)
133.201           1 (0.07%)
133.207           1 (0.07%)
133.211           1 (0.07%)
133.223           1 (0.07%)
133.23            1 (0.07%)
133.235           1 (0.07%)
133.241           1 (0.07%)
133.251           1 (0.07%)
133.252           1 (0.07%)
133.261           1 (0.07%)
133.276           1 (0.07%)
133.294           1 (0.07%)
133.311           1 (0.07%)
133.355           1 (0.07%)
133.376           1 (0.07%)
133.378           1 (0.07%)
133.38            1 (0.07%)
133.402           1 (0.07%)
133.42            1 (0.07%)
133.436           1 (0.07%)
133.48            1 (0.07%)
133.503           1 (0.07%)
133.553           1 (0.07%)
133.587           1 (0.07%)
133.598           1 (0.07%)
133.611           1 (0.07%)
133.649           2 (0.13%)
133.653           1 (0.07%)
133.664           1 (0.07%)
133.707           1 (0.07%)
133.728           1 (0.07%)
133.756           1 (0.07%)
133.758           1 (0.07%)
133.768           1 (0.07%)
133.774           1 (0.07%)
133.79            2 (0.13%)
133.808           1 (0.07%)
133.846           1 (0.07%)
133.847           1 (0.07%)
133.894           1 (0.07%)
133.924           1 (0.07%)
133.956           1 (0.07%)
134.0             1 (0.07%)
134.022           1 (0.07%)
134.034           1 (0.07%)
134.052           1 (0.07%)
134.058           2 (0.13%)
134.11            1 (0.07%)
134.111           1 (0.07%)
134.152           1 (0.07%)
134.226           1 (0.07%)
134.227           1 (0.07%)
134.228           1 (0.07%)
134.236           1 (0.07%)
134.247           1 (0.07%)
134.268           1 (0.07%)
134.273           1 (0.07%)
134.308           1 (0.07%)
134.319           1 (0.07%)
134.336           1 (0.07%)
134.34            1 (0.07%)
134.43            2 (0.13%)
134.476           1 (0.07%)
134.478           1 (0.07%)
134.498           1 (0.07%)
134.515           1 (0.07%)
134.528           1 (0.07%)
134.533           1 (0.07%)
134.556           1 (0.07%)
134.563           1 (0.07%)
134.568           1 (0.07%)
134.625           1 (0.07%)
134.826           1 (0.07%)
134.853           1 (0.07%)
134.87            1 (0.07%)
134.928           1 (0.07%)
134.938           1 (0.07%)
134.946           1 (0.07%)
134.976           1 (0.07%)
134.987           1 (0.07%)
134.996           1 (0.07%)
135.07            1 (0.07%)
135.079           1 (0.07%)
135.164           1 (0.07%)
135.191           1 (0.07%)
135.227           1 (0.07%)
135.234           1 (0.07%)
135.248           1 (0.07%)
135.308           1 (0.07%)
135.324           1 (0.07%)
135.328           1 (0.07%)
135.329           1 (0.07%)
135.346           1 (0.07%)
135.368           1 (0.07%)
135.38            1 (0.07%)
135.426           1 (0.07%)
135.433           1 (0.07%)
135.459           1 (0.07%)
135.468           1 (0.07%)
135.484           1 (0.07%)
135.49            1 (0.07%)
135.54            1 (0.07%)
135.674           1 (0.07%)
135.803           1 (0.07%)
135.866           1 (0.07%)
135.924           1 (0.07%)
135.938           1 (0.07%)
135.953           1 (0.07%)
135.956           1 (0.07%)
136.023           1 (0.07%)
136.031           1 (0.07%)
136.103           1 (0.07%)
136.163           1 (0.07%)
136.166           1 (0.07%)
136.191           1 (0.07%)
136.284           1 (0.07%)
136.384           1 (0.07%)
136.414           1 (0.07%)
136.536           1 (0.07%)
136.583           1 (0.07%)
136.678           1 (0.07%)
136.758           1 (0.07%)
136.798           1 (0.07%)
136.826           1 (0.07%)
136.837           1 (0.07%)
136.883           1 (0.07%)
136.886           1 (0.07%)
136.941           1 (0.07%)
137.007           1 (0.07%)
137.026           1 (0.07%)
137.047           1 (0.07%)
137.068           1 (0.07%)
137.076           1 (0.07%)
137.207           1 (0.07%)
137.233           1 (0.07%)
137.658           1 (0.07%)
137.813           1 (0.07%)
138.123           1 (0.07%)
138.274           1 (0.07%)
138.423           1 (0.07%)
138.523           1 (0.07%)
138.537           1 (0.07%)
138.557           1 (0.07%)
138.607           1 (0.07%)
138.758           1 (0.07%)
139.226           1 (0.07%)
139.428           1 (0.07%)
139.438           1 (0.07%)
139.808           1 (0.07%)
139.918           1 (0.07%)
140.158           1 (0.07%)
140.987           1 (0.07%)
