Dataset:     Online News Popularity
40300             1 (0.00%)
40400             2 (0.01%)
40600             3 (0.01%)
41000             2 (0.01%)
41100             1 (0.00%)
41200             1 (0.00%)
41600             2 (0.01%)
41700             1 (0.00%)
41800             2 (0.01%)
41900             1 (0.00%)
42000             1 (0.00%)
42200             2 (0.01%)
42300             2 (0.01%)
42400             1 (0.00%)
42500             2 (0.01%)
42600             1 (0.00%)
42700             1 (0.00%)
43000             1 (0.00%)
43100             1 (0.00%)
43200             1 (0.00%)
43600             1 (0.00%)
43700             2 (0.01%)
44100             1 (0.00%)
44300             1 (0.00%)
44700             2 (0.01%)
44800             1 (0.00%)
45000             1 (0.00%)
45100             2 (0.01%)
45400             2 (0.01%)
45800             1 (0.00%)
45900             2 (0.01%)
46000             1 (0.00%)
46100             1 (0.00%)
46300             1 (0.00%)
46400             1 (0.00%)
46600             1 (0.00%)
46800             1 (0.00%)
47100             3 (0.01%)
47300             4 (0.01%)
47400             1 (0.00%)
47700             1 (0.00%)
47800             3 (0.01%)
48000             4 (0.01%)
48100             1 (0.00%)
48500             2 (0.01%)
48700             1 (0.00%)
48800             3 (0.01%)
49000             3 (0.01%)
49500             1 (0.00%)
49700             1 (0.00%)
49800             1 (0.00%)
50000             1 (0.00%)
50100             1 (0.00%)
50200             2 (0.01%)
50600             1 (0.00%)
50700             1 (0.00%)
50900             1 (0.00%)
51000             1 (0.00%)
51500             1 (0.00%)
51900             3 (0.01%)
52100             1 (0.00%)
52500             1 (0.00%)
52600             2 (0.01%)
52700             1 (0.00%)
52900             1 (0.00%)
53000             1 (0.00%)
53100             4 (0.01%)
53200             3 (0.01%)
53300             1 (0.00%)
53500             1 (0.00%)
53700             1 (0.00%)
53800             2 (0.01%)
53900             1 (0.00%)
54100             1 (0.00%)
54200             1 (0.00%)
54300             1 (0.00%)
54600             1 (0.00%)
54700             1 (0.00%)
54900             1 (0.00%)
55200             1 (0.00%)
55600             2 (0.01%)
56000             1 (0.00%)
56400             1 (0.00%)
56500             3 (0.01%)
56900             2 (0.01%)
57000             1 (0.00%)
57100             1 (0.00%)
57200             1 (0.00%)
57400             1 (0.00%)
57500             1 (0.00%)
57600             1 (0.00%)
57800             1 (0.00%)
58100             1 (0.00%)
58400             1 (0.00%)
58800             1 (0.00%)
59000             2 (0.01%)
59100             1 (0.00%)
59400             1 (0.00%)
60100             1 (0.00%)
60200             1 (0.00%)
60300             2 (0.01%)
61500             1 (0.00%)
61600             1 (0.00%)
62000             1 (0.00%)
62300             1 (0.00%)
62900             2 (0.01%)
63100             1 (0.00%)
63300             1 (0.00%)
64099             1 (0.00%)
64300             1 (0.00%)
64400             1 (0.00%)
64500             1 (0.00%)
64599             1 (0.00%)
65300             1 (0.00%)
65900             1 (0.00%)
66900             1 (0.00%)
67100             1 (0.00%)
67300             1 (0.00%)
67500             1 (0.00%)
67700             1 (0.00%)
67800             1 (0.00%)
68300             2 (0.01%)
69000             1 (0.00%)
69100             1 (0.00%)
69300             1 (0.00%)
69500             1 (0.00%)
70200             1 (0.00%)
70600             1 (0.00%)
70800             1 (0.00%)
71000             1 (0.00%)
71300             1 (0.00%)
71700             1 (0.00%)
71800             1 (0.00%)
71900             1 (0.00%)
72100             1 (0.00%)
72900             1 (0.00%)
73100             1 (0.00%)
74100             1 (0.00%)
74300             1 (0.00%)
75500             1 (0.00%)
75600             1 (0.00%)
77200             1 (0.00%)
77300             1 (0.00%)
77400             1 (0.00%)
77600             1 (0.00%)
77800             1 (0.00%)
78600             2 (0.01%)
79900             1 (0.00%)
80400             1 (0.00%)
80800             1 (0.00%)
81200             1 (0.00%)
81700             1 (0.00%)
82000             1 (0.00%)
82200             1 (0.00%)
83300             1 (0.00%)
84800             1 (0.00%)
86200             1 (0.00%)
86300             1 (0.00%)
87000             1 (0.00%)
87600             1 (0.00%)
88500             1 (0.00%)
89500             1 (0.00%)
92100             1 (0.00%)
92600             1 (0.00%)
93800             1 (0.00%)
94400             1 (0.00%)
94800             1 (0.00%)
95100             1 (0.00%)
95300             1 (0.00%)
95400             1 (0.00%)
96000             1 (0.00%)
96100             1 (0.00%)
96500             1 (0.00%)
96900             1 (0.00%)
97200             1 (0.00%)
98000             1 (0.00%)
98500             1 (0.00%)
98700             1 (0.00%)
100200            1 (0.00%)
100300            1 (0.00%)
102200            1 (0.00%)
102500            1 (0.00%)
104100            2 (0.01%)
104600            1 (0.00%)
105400            2 (0.01%)
106400            1 (0.00%)
108400            1 (0.00%)
109100            1 (0.00%)
109500            1 (0.00%)
109800            1 (0.00%)
110200            1 (0.00%)
111300            1 (0.00%)
112500            1 (0.00%)
112600            1 (0.00%)
113700            1 (0.00%)
115700            1 (0.00%)
118700            1 (0.00%)
119100            1 (0.00%)
122800            1 (0.00%)
128500            1 (0.00%)
128800            1 (0.00%)
128900            1 (0.00%)
133700            1 (0.00%)
138700            1 (0.00%)
139500            1 (0.00%)
139600            1 (0.00%)
141400            1 (0.00%)
143100            1 (0.00%)
144400            1 (0.00%)
144900            1 (0.00%)
145500            1 (0.00%)
158900            1 (0.00%)
161600            1 (0.00%)
180600            1 (0.00%)
193400            1 (0.00%)
196700            1 (0.00%)
197600            1 (0.00%)
200100            1 (0.00%)
205600            1 (0.00%)
208300            1 (0.00%)
210300            1 (0.00%)
211600            1 (0.00%)
227300            1 (0.00%)
233400            1 (0.00%)
284700            1 (0.00%)
298400            1 (0.00%)
306100            1 (0.00%)
310800            1 (0.00%)
441000            1 (0.00%)
617900            1 (0.00%)
652900            1 (0.00%)
663600            1 (0.00%)
690400            1 (0.00%)
843300            1 (0.00%)
