Dataset:     Combined Cycle Power Plant
439.04            3 (0.03%)
439.05            1 (0.01%)
439.06            6 (0.06%)
439.08            2 (0.02%)
439.09            2 (0.02%)
439.11            3 (0.03%)
439.12            3 (0.03%)
439.13            3 (0.03%)
439.14            6 (0.06%)
439.15            2 (0.02%)
439.16            2 (0.02%)
439.17            1 (0.01%)
439.18            2 (0.02%)
439.19            2 (0.02%)
439.2             3 (0.03%)
439.21            1 (0.01%)
439.22            2 (0.02%)
439.24            1 (0.01%)
439.25            5 (0.05%)
439.26            2 (0.02%)
439.27            1 (0.01%)
439.28            1 (0.01%)
439.29            2 (0.02%)
439.3             4 (0.04%)
439.31            3 (0.03%)
439.32            2 (0.02%)
439.33            5 (0.05%)
439.34            2 (0.02%)
439.35            1 (0.01%)
439.36            4 (0.04%)
439.37            3 (0.03%)
439.38            1 (0.01%)
439.39            2 (0.02%)
439.4             4 (0.04%)
439.42            1 (0.01%)
439.43            4 (0.04%)
439.44            1 (0.01%)
439.45            2 (0.02%)
439.46            4 (0.04%)
439.47            2 (0.02%)
439.48            3 (0.03%)
439.49            3 (0.03%)
439.5             1 (0.01%)
439.51            3 (0.03%)
439.52            2 (0.02%)
439.53            1 (0.01%)
439.54            2 (0.02%)
439.55            5 (0.05%)
439.56            2 (0.02%)
439.58            2 (0.02%)
439.59            2 (0.02%)
439.6             3 (0.03%)
439.61            2 (0.02%)
439.63            3 (0.03%)
439.64            1 (0.01%)
439.65            4 (0.04%)
439.66            6 (0.06%)
439.67            3 (0.03%)
439.68            2 (0.02%)
439.69            2 (0.02%)
439.7             1 (0.01%)
439.71            3 (0.03%)
439.72            4 (0.04%)
439.73            3 (0.03%)
439.74            4 (0.04%)
439.75            3 (0.03%)
439.76            1 (0.01%)
439.77            5 (0.05%)
439.78            2 (0.02%)
439.79            2 (0.02%)
439.8             4 (0.04%)
439.81            3 (0.03%)
439.82            3 (0.03%)
439.83            2 (0.02%)
439.84            4 (0.04%)
439.86            5 (0.05%)
439.87            2 (0.02%)
439.88            1 (0.01%)
439.89            1 (0.01%)
439.9             2 (0.02%)
439.91            4 (0.04%)
439.92            2 (0.02%)
439.93            2 (0.02%)
439.94            2 (0.02%)
439.96            3 (0.03%)
439.97            2 (0.02%)
439.98            1 (0.01%)
439.99            2 (0.02%)
440.0             4 (0.04%)
440.01            3 (0.03%)
440.02            1 (0.01%)
440.03            4 (0.04%)
440.04            4 (0.04%)
440.05            3 (0.03%)
440.06            2 (0.02%)
440.07            2 (0.02%)
440.08            4 (0.04%)
440.09            3 (0.03%)
440.1             3 (0.03%)
440.11            2 (0.02%)
440.12            5 (0.05%)
440.13            4 (0.04%)
440.14            1 (0.01%)
440.15            4 (0.04%)
440.16            3 (0.03%)
440.17            4 (0.04%)
440.18            1 (0.01%)
440.2             2 (0.02%)
440.21            4 (0.04%)
440.22            4 (0.04%)
440.23            2 (0.02%)
440.24            1 (0.01%)
440.25            2 (0.02%)
440.26            7 (0.07%)
440.27            3 (0.03%)
440.28            5 (0.05%)
440.29            4 (0.04%)
440.3             2 (0.02%)
440.31            4 (0.04%)
440.32            2 (0.02%)
440.33            1 (0.01%)
440.35            1 (0.01%)
440.36            3 (0.03%)
440.37            1 (0.01%)
440.38            2 (0.02%)
440.39            1 (0.01%)
440.4             2 (0.02%)
440.42            2 (0.02%)
440.43            4 (0.04%)
440.44            2 (0.02%)
440.45            1 (0.01%)
440.46            2 (0.02%)
440.47            2 (0.02%)
440.48            2 (0.02%)
440.49            1 (0.01%)
440.5             2 (0.02%)
440.51            3 (0.03%)
440.52            5 (0.05%)
440.53            4 (0.04%)
440.54            1 (0.01%)
440.55            2 (0.02%)
440.56            3 (0.03%)
440.57            2 (0.02%)
440.58            4 (0.04%)
440.59            2 (0.02%)
440.6             3 (0.03%)
440.61            1 (0.01%)
440.62            2 (0.02%)
440.63            3 (0.03%)
440.64            4 (0.04%)
440.65            2 (0.02%)
440.66            3 (0.03%)
440.67            5 (0.05%)
440.68            3 (0.03%)
440.69            2 (0.02%)
440.7             2 (0.02%)
440.72            1 (0.01%)
440.73            1 (0.01%)
440.74            6 (0.06%)
440.75            6 (0.06%)
440.76            2 (0.02%)
440.77            1 (0.01%)
440.78            2 (0.02%)
440.79            5 (0.05%)
440.8             3 (0.03%)
440.81            4 (0.04%)
440.83            1 (0.01%)
440.84            1 (0.01%)
440.85            4 (0.04%)
440.86            2 (0.02%)
440.87            5 (0.05%)
440.88            1 (0.01%)
440.89            2 (0.02%)
440.9             3 (0.03%)
440.91            1 (0.01%)
440.92            4 (0.04%)
440.93            3 (0.03%)
440.94            2 (0.02%)
440.95            1 (0.01%)
440.96            7 (0.07%)
440.97            3 (0.03%)
440.98            3 (0.03%)
440.99            5 (0.05%)
441.0             4 (0.04%)
441.01            1 (0.01%)
441.03            2 (0.02%)
441.04            5 (0.05%)
441.05            2 (0.02%)
441.06            1 (0.01%)
441.07            4 (0.04%)
441.08            3 (0.03%)
441.1             1 (0.01%)
441.11            1 (0.01%)
441.12            2 (0.02%)
441.13            2 (0.02%)
441.14            4 (0.04%)
441.15            4 (0.04%)
441.16            3 (0.03%)
441.17            1 (0.01%)
441.18            4 (0.04%)
441.19            1 (0.01%)
441.2             3 (0.03%)
441.21            3 (0.03%)
441.22            4 (0.04%)
441.23            1 (0.01%)
441.24            2 (0.02%)
441.25            1 (0.01%)
441.26            1 (0.01%)
441.27            1 (0.01%)
441.28            3 (0.03%)
441.29            5 (0.05%)
441.3             6 (0.06%)
441.31            3 (0.03%)
441.32            4 (0.04%)
441.33            3 (0.03%)
441.34            3 (0.03%)
441.35            2 (0.02%)
441.36            1 (0.01%)
441.37            2 (0.02%)
441.39            1 (0.01%)
441.4             2 (0.02%)
441.41            3 (0.03%)
441.43            1 (0.01%)
441.44            2 (0.02%)
441.45            2 (0.02%)
441.46            2 (0.02%)
441.47            2 (0.02%)
441.48            1 (0.01%)
441.49            2 (0.02%)
441.5             4 (0.04%)
441.51            6 (0.06%)
441.52            2 (0.02%)
441.53            2 (0.02%)
441.54            5 (0.05%)
441.56            3 (0.03%)
441.57            4 (0.04%)
441.58            2 (0.02%)
441.6             3 (0.03%)
441.61            4 (0.04%)
441.62            1 (0.01%)
441.64            1 (0.01%)
441.65            3 (0.03%)
441.66            3 (0.03%)
441.67            1 (0.01%)
441.68            4 (0.04%)
441.7             2 (0.02%)
441.71            4 (0.04%)
441.73            1 (0.01%)
441.74            3 (0.03%)
441.75            2 (0.02%)
441.76            4 (0.04%)
441.77            3 (0.03%)
441.78            5 (0.05%)
441.79            1 (0.01%)
441.8             2 (0.02%)
441.81            2 (0.02%)
441.83            2 (0.02%)
441.84            1 (0.01%)
441.85            3 (0.03%)
441.86            1 (0.01%)
441.87            1 (0.01%)
441.88            1 (0.01%)
441.9             7 (0.07%)
441.91            2 (0.02%)
441.92            3 (0.03%)
441.93            4 (0.04%)
441.94            3 (0.03%)
441.97            1 (0.01%)
441.98            1 (0.01%)
441.99            4 (0.04%)
442.0             5 (0.05%)
442.01            1 (0.01%)
442.02            3 (0.03%)
442.03            2 (0.02%)
442.04            2 (0.02%)
442.07            2 (0.02%)
442.08            1 (0.01%)
442.1             1 (0.01%)
442.11            3 (0.03%)
442.12            4 (0.04%)
442.13            4 (0.04%)
442.14            2 (0.02%)
442.15            2 (0.02%)
442.16            3 (0.03%)
442.17            1 (0.01%)
442.18            3 (0.03%)
442.19            3 (0.03%)
442.2             4 (0.04%)
442.21            2 (0.02%)
442.22            2 (0.02%)
442.23            5 (0.05%)
442.24            3 (0.03%)
442.25            2 (0.02%)
442.26            2 (0.02%)
442.27            2 (0.02%)
442.28            4 (0.04%)
442.29            2 (0.02%)
442.3             2 (0.02%)
442.31            2 (0.02%)
442.32            2 (0.02%)
442.33            1 (0.01%)
442.34            1 (0.01%)
442.35            2 (0.02%)
442.36            1 (0.01%)
442.37            2 (0.02%)
442.38            3 (0.03%)
442.39            2 (0.02%)
442.4             3 (0.03%)
442.42            2 (0.02%)
442.43            3 (0.03%)
442.44            3 (0.03%)
442.45            3 (0.03%)
442.46            2 (0.02%)
442.47            4 (0.04%)
442.48            5 (0.05%)
442.49            2 (0.02%)
442.5             3 (0.03%)
442.51            3 (0.03%)
442.52            1 (0.01%)
442.53            3 (0.03%)
442.54            2 (0.02%)
442.56            2 (0.02%)
442.57            2 (0.02%)
442.58            4 (0.04%)
442.59            2 (0.02%)
442.6             5 (0.05%)
442.62            3 (0.03%)
442.63            1 (0.01%)
442.64            4 (0.04%)
442.65            5 (0.05%)
442.66            2 (0.02%)
442.67            3 (0.03%)
442.68            1 (0.01%)
442.69            5 (0.05%)
442.7             4 (0.04%)
442.71            4 (0.04%)
442.72            2 (0.02%)
442.73            2 (0.02%)
442.74            1 (0.01%)
442.75            5 (0.05%)
442.76            4 (0.04%)
442.77            2 (0.02%)
442.78            8 (0.08%)
442.79            2 (0.02%)
442.8             1 (0.01%)
442.81            1 (0.01%)
442.82            3 (0.03%)
442.83            4 (0.04%)
442.84            5 (0.05%)
442.85            5 (0.05%)
442.86            4 (0.04%)
442.87            4 (0.04%)
442.88            2 (0.02%)
442.89            3 (0.03%)
442.9             5 (0.05%)
442.91            1 (0.01%)
442.92            2 (0.02%)
442.93            2 (0.02%)
442.94            3 (0.03%)
442.95            1 (0.01%)
442.96            2 (0.02%)
442.97            1 (0.01%)
442.98            3 (0.03%)
442.99            2 (0.02%)
443.0             1 (0.01%)
443.01            2 (0.02%)
443.02            1 (0.01%)
443.03            3 (0.03%)
443.04            3 (0.03%)
443.06            4 (0.04%)
443.09            4 (0.04%)
443.1             2 (0.02%)
443.11            1 (0.01%)
443.12            3 (0.03%)
443.13            4 (0.04%)
443.14            1 (0.01%)
443.15            2 (0.02%)
443.17            1 (0.01%)
443.18            1 (0.01%)
443.19            1 (0.01%)
443.2             2 (0.02%)
443.21            1 (0.01%)
443.22            1 (0.01%)
443.23            1 (0.01%)
443.24            4 (0.04%)
443.25            1 (0.01%)
443.26            2 (0.02%)
443.27            2 (0.02%)
443.28            1 (0.01%)
443.29            2 (0.02%)
443.3             2 (0.02%)
443.31            5 (0.05%)
443.33            1 (0.01%)
443.34            1 (0.01%)
443.35            1 (0.01%)
443.39            3 (0.03%)
443.41            3 (0.03%)
443.42            1 (0.01%)
443.43            3 (0.03%)
443.44            5 (0.05%)
443.45            2 (0.02%)
443.46            2 (0.02%)
443.47            1 (0.01%)
443.48            2 (0.02%)
443.49            1 (0.01%)
443.5             5 (0.05%)
443.51            3 (0.03%)
443.52            1 (0.01%)
443.53            2 (0.02%)
443.54            4 (0.04%)
443.55            2 (0.02%)
443.57            3 (0.03%)
443.58            2 (0.02%)
443.59            2 (0.02%)
443.6             1 (0.01%)
443.61            2 (0.02%)
443.62            1 (0.01%)
443.63            2 (0.02%)
443.65            2 (0.02%)
443.66            7 (0.07%)
443.67            4 (0.04%)
443.68            2 (0.02%)
443.69            1 (0.01%)
443.7             4 (0.04%)
443.71            2 (0.02%)
443.72            1 (0.01%)
443.73            4 (0.04%)
443.74            2 (0.02%)
443.75            6 (0.06%)
443.76            3 (0.03%)
443.77            3 (0.03%)
443.78            3 (0.03%)
443.79            3 (0.03%)
443.8             4 (0.04%)
443.81            1 (0.01%)
443.82            2 (0.02%)
443.84            2 (0.02%)
443.85            3 (0.03%)
443.86            3 (0.03%)
443.87            4 (0.04%)
443.88            1 (0.01%)
443.89            3 (0.03%)
443.9             2 (0.02%)
443.91            2 (0.02%)
443.92            2 (0.02%)
443.93            5 (0.05%)
443.94            4 (0.04%)
443.95            1 (0.01%)
443.96            1 (0.01%)
443.97            1 (0.01%)
443.98            2 (0.02%)
443.99            1 (0.01%)
444.0             3 (0.03%)
444.01            5 (0.05%)
444.02            2 (0.02%)
444.03            1 (0.01%)
444.04            4 (0.04%)
444.05            3 (0.03%)
444.06            3 (0.03%)
444.07            2 (0.02%)
444.08            2 (0.02%)
444.09            4 (0.04%)
444.1             2 (0.02%)
444.11            1 (0.01%)
444.12            1 (0.01%)
444.13            2 (0.02%)
444.14            1 (0.01%)
444.15            1 (0.01%)
444.16            3 (0.03%)
444.17            1 (0.01%)
444.19            6 (0.06%)
444.2             1 (0.01%)
444.21            2 (0.02%)
444.22            2 (0.02%)
444.23            3 (0.03%)
444.26            5 (0.05%)
444.27            1 (0.01%)
444.28            1 (0.01%)
444.31            1 (0.01%)
444.34            3 (0.03%)
444.35            5 (0.05%)
444.36            3 (0.03%)
444.37            3 (0.03%)
444.38            4 (0.04%)
444.39            5 (0.05%)
444.4             2 (0.02%)
444.41            1 (0.01%)
444.42            3 (0.03%)
444.43            3 (0.03%)
444.44            2 (0.02%)
444.46            4 (0.04%)
444.48            2 (0.02%)
444.49            1 (0.01%)
444.5             5 (0.05%)
444.51            3 (0.03%)
444.52            2 (0.02%)
444.53            3 (0.03%)
444.54            3 (0.03%)
444.55            3 (0.03%)
444.56            2 (0.02%)
444.57            4 (0.04%)
444.58            1 (0.01%)
444.59            3 (0.03%)
444.6             3 (0.03%)
444.61            2 (0.02%)
444.62            1 (0.01%)
444.63            2 (0.02%)
444.64            3 (0.03%)
444.65            3 (0.03%)
444.66            5 (0.05%)
444.67            1 (0.01%)
444.68            1 (0.01%)
444.69            6 (0.06%)
444.7             2 (0.02%)
444.71            5 (0.05%)
444.72            2 (0.02%)
444.73            1 (0.01%)
444.74            4 (0.04%)
444.75            1 (0.01%)
444.76            3 (0.03%)
444.77            3 (0.03%)
444.78            2 (0.02%)
444.79            1 (0.01%)
444.8             2 (0.02%)
444.81            2 (0.02%)
444.82            2 (0.02%)
444.83            2 (0.02%)
444.84            1 (0.01%)
444.85            5 (0.05%)
444.86            2 (0.02%)
444.87            2 (0.02%)
444.88            2 (0.02%)
444.89            3 (0.03%)
444.9             6 (0.06%)
444.91            1 (0.01%)
444.93            2 (0.02%)
444.94            1 (0.01%)
444.95            3 (0.03%)
444.96            1 (0.01%)
444.97            1 (0.01%)
444.98            2 (0.02%)
444.99            5 (0.05%)
445.0             3 (0.03%)
445.01            3 (0.03%)
445.02            2 (0.02%)
445.03            2 (0.02%)
445.04            2 (0.02%)
445.05            1 (0.01%)
445.07            2 (0.02%)
445.09            2 (0.02%)
445.1             6 (0.06%)
445.11            3 (0.03%)
445.12            3 (0.03%)
445.16            1 (0.01%)
445.17            3 (0.03%)
445.18            3 (0.03%)
445.19            2 (0.02%)
445.2             1 (0.01%)
445.21            1 (0.01%)
445.22            4 (0.04%)
445.23            1 (0.01%)
445.24            1 (0.01%)
445.25            2 (0.02%)
445.26            3 (0.03%)
445.27            3 (0.03%)
445.28            1 (0.01%)
445.29            2 (0.02%)
445.3             4 (0.04%)
445.31            5 (0.05%)
445.32            3 (0.03%)
445.33            4 (0.04%)
445.34            3 (0.03%)
445.35            2 (0.02%)
445.36            5 (0.05%)
445.37            3 (0.03%)
445.39            3 (0.03%)
445.4             3 (0.03%)
445.41            3 (0.03%)
445.42            1 (0.01%)
445.43            1 (0.01%)
445.44            4 (0.04%)
445.45            2 (0.02%)
445.46            1 (0.01%)
445.47            1 (0.01%)
445.49            3 (0.03%)
445.5             2 (0.02%)
445.51            1 (0.01%)
445.52            4 (0.04%)
445.54            3 (0.03%)
445.55            2 (0.02%)
445.56            2 (0.02%)
445.57            1 (0.01%)
445.58            2 (0.02%)
445.59            3 (0.03%)
445.6             4 (0.04%)
445.61            4 (0.04%)
445.62            1 (0.01%)
445.63            1 (0.01%)
445.64            1 (0.01%)
445.65            2 (0.02%)
445.66            4 (0.04%)
445.67            3 (0.03%)
445.68            1 (0.01%)
445.71            2 (0.02%)
445.72            4 (0.04%)
445.73            1 (0.01%)
445.74            1 (0.01%)
445.75            3 (0.03%)
445.76            2 (0.02%)
445.77            1 (0.01%)
445.78            1 (0.01%)
445.79            2 (0.02%)
445.8             3 (0.03%)
445.81            2 (0.02%)
445.82            4 (0.04%)
445.83            2 (0.02%)
445.84            3 (0.03%)
445.85            2 (0.02%)
445.86            2 (0.02%)
445.87            3 (0.03%)
445.88            1 (0.01%)
445.89            1 (0.01%)
445.9             2 (0.02%)
445.91            3 (0.03%)
445.92            2 (0.02%)
445.93            2 (0.02%)
445.95            1 (0.01%)
445.96            1 (0.01%)
445.97            1 (0.01%)
445.98            2 (0.02%)
446.0             1 (0.01%)
446.01            4 (0.04%)
446.02            2 (0.02%)
446.03            1 (0.01%)
446.04            2 (0.02%)
446.05            7 (0.07%)
446.08            2 (0.02%)
446.09            3 (0.03%)
446.1             1 (0.01%)
446.11            3 (0.03%)
446.12            1 (0.01%)
446.14            1 (0.01%)
446.15            3 (0.03%)
446.16            1 (0.01%)
446.17            3 (0.03%)
446.18            3 (0.03%)
446.19            3 (0.03%)
446.2             3 (0.03%)
446.22            4 (0.04%)
446.23            3 (0.03%)
446.26            3 (0.03%)
446.27            1 (0.01%)
446.28            1 (0.01%)
446.29            1 (0.01%)
446.3             4 (0.04%)
446.31            2 (0.02%)
446.32            1 (0.01%)
446.33            5 (0.05%)
446.34            4 (0.04%)
446.35            1 (0.01%)
446.36            2 (0.02%)
446.37            1 (0.01%)
446.38            1 (0.01%)
446.4             3 (0.03%)
446.41            1 (0.01%)
446.42            2 (0.02%)
446.43            1 (0.01%)
446.44            3 (0.03%)
446.45            1 (0.01%)
446.46            3 (0.03%)
446.47            1 (0.01%)
446.48            4 (0.04%)
446.49            2 (0.02%)
446.5             1 (0.01%)
446.51            2 (0.02%)
446.53            1 (0.01%)
446.54            2 (0.02%)
446.55            1 (0.01%)
446.56            3 (0.03%)
446.57            4 (0.04%)
446.58            3 (0.03%)
446.59            1 (0.01%)
446.61            1 (0.01%)
446.62            4 (0.04%)
446.63            2 (0.02%)
446.64            3 (0.03%)
446.66            2 (0.02%)
446.67            4 (0.04%)
446.68            3 (0.03%)
446.69            1 (0.01%)
446.7             4 (0.04%)
446.71            2 (0.02%)
446.72            2 (0.02%)
446.73            1 (0.01%)
446.74            1 (0.01%)
446.75            3 (0.03%)
446.76            2 (0.02%)
446.77            3 (0.03%)
446.79            2 (0.02%)
446.8             1 (0.01%)
446.82            1 (0.01%)
446.83            1 (0.01%)
446.84            2 (0.02%)
446.85            1 (0.01%)
446.86            2 (0.02%)
446.87            4 (0.04%)
446.88            2 (0.02%)
446.9             1 (0.01%)
446.91            3 (0.03%)
446.92            1 (0.01%)
446.93            3 (0.03%)
446.94            2 (0.02%)
446.95            2 (0.02%)
446.96            1 (0.01%)
446.97            1 (0.01%)
446.98            2 (0.02%)
446.99            1 (0.01%)
447.0             1 (0.01%)
447.01            2 (0.02%)
447.02            3 (0.03%)
447.03            3 (0.03%)
447.04            2 (0.02%)
447.05            1 (0.01%)
447.06            8 (0.08%)
447.07            3 (0.03%)
447.09            4 (0.04%)
447.1             2 (0.02%)
447.11            1 (0.01%)
447.12            2 (0.02%)
447.13            4 (0.04%)
447.14            4 (0.04%)
447.15            2 (0.02%)
447.16            7 (0.07%)
447.17            1 (0.01%)
447.18            2 (0.02%)
447.19            1 (0.01%)
447.2             2 (0.02%)
447.21            1 (0.01%)
447.22            1 (0.01%)
447.24            1 (0.01%)
447.25            2 (0.02%)
447.26            4 (0.04%)
447.27            2 (0.02%)
447.28            4 (0.04%)
447.29            3 (0.03%)
447.3             3 (0.03%)
447.31            3 (0.03%)
447.32            1 (0.01%)
447.34            2 (0.02%)
447.35            2 (0.02%)
447.36            3 (0.03%)
447.37            2 (0.02%)
447.4             2 (0.02%)
447.41            1 (0.01%)
447.42            4 (0.04%)
447.43            3 (0.03%)
447.44            1 (0.01%)
447.45            1 (0.01%)
447.46            3 (0.03%)
447.47            2 (0.02%)
447.48            2 (0.02%)
447.49            2 (0.02%)
447.5             2 (0.02%)
447.52            1 (0.01%)
447.54            2 (0.02%)
447.57            2 (0.02%)
447.58            2 (0.02%)
447.59            1 (0.01%)
447.61            1 (0.01%)
447.62            1 (0.01%)
447.63            2 (0.02%)
447.64            2 (0.02%)
447.65            1 (0.01%)
447.66            3 (0.03%)
447.67            5 (0.05%)
447.69            2 (0.02%)
447.7             2 (0.02%)
447.71            1 (0.01%)
447.73            2 (0.02%)
447.74            1 (0.01%)
447.75            1 (0.01%)
447.76            1 (0.01%)
447.77            2 (0.02%)
447.78            1 (0.01%)
447.8             1 (0.01%)
447.81            1 (0.01%)
447.82            1 (0.01%)
447.83            3 (0.03%)
447.84            2 (0.02%)
447.85            4 (0.04%)
447.86            3 (0.03%)
447.88            2 (0.02%)
447.89            3 (0.03%)
447.9             1 (0.01%)
447.91            2 (0.02%)
447.92            2 (0.02%)
447.93            4 (0.04%)
447.95            2 (0.02%)
447.96            4 (0.04%)
447.98            1 (0.01%)
448.0             1 (0.01%)
448.01            2 (0.02%)
448.02            1 (0.01%)
448.03            2 (0.02%)
448.04            4 (0.04%)
448.06            2 (0.02%)
448.07            1 (0.01%)
448.08            1 (0.01%)
448.09            2 (0.02%)
448.1             2 (0.02%)
448.11            3 (0.03%)
448.13            3 (0.03%)
448.15            4 (0.04%)
448.17            4 (0.04%)
448.18            1 (0.01%)
448.19            1 (0.01%)
448.2             1 (0.01%)
448.21            1 (0.01%)
448.22            3 (0.03%)
448.23            1 (0.01%)
448.24            1 (0.01%)
448.25            2 (0.02%)
448.26            3 (0.03%)
448.27            2 (0.02%)
448.28            1 (0.01%)
448.3             1 (0.01%)
448.31            2 (0.02%)
448.32            4 (0.04%)
448.33            1 (0.01%)
448.34            1 (0.01%)
448.35            2 (0.02%)
448.37            4 (0.04%)
448.38            1 (0.01%)
448.39            2 (0.02%)
448.4             1 (0.01%)
448.41            1 (0.01%)
448.42            1 (0.01%)
448.43            5 (0.05%)
448.45            1 (0.01%)
448.46            4 (0.04%)
448.47            1 (0.01%)
448.49            2 (0.02%)
448.5             2 (0.02%)
448.51            5 (0.05%)
448.52            2 (0.02%)
448.54            2 (0.02%)
448.55            1 (0.01%)
448.56            3 (0.03%)
448.57            1 (0.01%)
448.58            4 (0.04%)
448.59            1 (0.01%)
448.6             2 (0.02%)
448.61            3 (0.03%)
448.64            1 (0.01%)
448.65            4 (0.04%)
448.66            4 (0.04%)
448.67            4 (0.04%)
448.68            1 (0.01%)
448.69            3 (0.03%)
448.71            4 (0.04%)
448.72            2 (0.02%)
448.73            2 (0.02%)
448.74            2 (0.02%)
448.75            2 (0.02%)
448.76            2 (0.02%)
448.77            2 (0.02%)
448.79            4 (0.04%)
448.8             2 (0.02%)
448.82            2 (0.02%)
448.83            3 (0.03%)
448.84            2 (0.02%)
448.85            2 (0.02%)
448.86            1 (0.01%)
448.87            1 (0.01%)
448.88            2 (0.02%)
448.89            2 (0.02%)
448.9             2 (0.02%)
448.91            3 (0.03%)
448.92            3 (0.03%)
448.93            2 (0.02%)
448.96            1 (0.01%)
448.97            2 (0.02%)
448.98            2 (0.02%)
449.0             1 (0.01%)
449.01            3 (0.03%)
449.02            2 (0.02%)
449.03            2 (0.02%)
449.04            2 (0.02%)
449.05            1 (0.01%)
449.06            1 (0.01%)
449.07            5 (0.05%)
449.08            3 (0.03%)
449.09            2 (0.02%)
449.1             3 (0.03%)
449.11            3 (0.03%)
449.12            3 (0.03%)
449.13            2 (0.02%)
449.14            1 (0.01%)
449.16            1 (0.01%)
449.17            1 (0.01%)
449.18            1 (0.01%)
449.2             2 (0.02%)
449.21            2 (0.02%)
449.22            2 (0.02%)
449.23            4 (0.04%)
449.24            3 (0.03%)
449.25            1 (0.01%)
449.26            3 (0.03%)
449.27            2 (0.02%)
449.28            2 (0.02%)
449.31            1 (0.01%)
449.32            1 (0.01%)
449.33            1 (0.01%)
449.34            3 (0.03%)
449.36            2 (0.02%)
449.38            3 (0.03%)
449.4             3 (0.03%)
449.41            2 (0.02%)
449.42            1 (0.01%)
449.43            1 (0.01%)
449.44            1 (0.01%)
449.45            2 (0.02%)
449.47            1 (0.01%)
449.48            4 (0.04%)
449.49            1 (0.01%)
449.5             1 (0.01%)
449.51            1 (0.01%)
449.52            2 (0.02%)
449.54            4 (0.04%)
449.55            1 (0.01%)
449.57            3 (0.03%)
449.58            2 (0.02%)
449.59            4 (0.04%)
449.6             4 (0.04%)
449.61            3 (0.03%)
449.62            1 (0.01%)
449.63            4 (0.04%)
449.64            1 (0.01%)
449.65            4 (0.04%)
449.66            3 (0.03%)
449.67            3 (0.03%)
449.68            1 (0.01%)
449.7             3 (0.03%)
449.72            1 (0.01%)
449.73            3 (0.03%)
449.74            5 (0.05%)
449.75            1 (0.01%)
449.76            3 (0.03%)
449.77            2 (0.02%)
449.79            2 (0.02%)
449.8             2 (0.02%)
449.81            4 (0.04%)
449.82            3 (0.03%)
449.84            1 (0.01%)
449.85            1 (0.01%)
449.86            1 (0.01%)
449.87            1 (0.01%)
449.88            2 (0.02%)
449.89            1 (0.01%)
449.9             1 (0.01%)
449.91            2 (0.02%)
449.93            2 (0.02%)
449.94            2 (0.02%)
449.95            1 (0.01%)
449.96            2 (0.02%)
449.97            1 (0.01%)
449.98            4 (0.04%)
449.99            3 (0.03%)
450.0             2 (0.02%)
450.01            1 (0.01%)
450.02            1 (0.01%)
450.04            2 (0.02%)
450.05            2 (0.02%)
450.06            1 (0.01%)
450.07            6 (0.06%)
450.08            2 (0.02%)
450.09            1 (0.01%)
450.11            1 (0.01%)
450.13            2 (0.02%)
450.14            3 (0.03%)
450.15            1 (0.01%)
450.16            1 (0.01%)
450.17            1 (0.01%)
450.18            2 (0.02%)
450.19            1 (0.01%)
450.21            1 (0.01%)
450.22            4 (0.04%)
450.23            3 (0.03%)
450.24            1 (0.01%)
450.25            4 (0.04%)
450.26            4 (0.04%)
450.27            1 (0.01%)
450.28            1 (0.01%)
450.29            1 (0.01%)
450.3             1 (0.01%)
450.31            2 (0.02%)
450.32            1 (0.01%)
450.33            5 (0.05%)
450.35            1 (0.01%)
450.36            1 (0.01%)
450.37            1 (0.01%)
450.38            2 (0.02%)
450.39            1 (0.01%)
450.4             2 (0.02%)
450.41            1 (0.01%)
450.43            1 (0.01%)
450.44            2 (0.02%)
450.46            3 (0.03%)
450.48            3 (0.03%)
450.5             3 (0.03%)
450.53            4 (0.04%)
450.54            3 (0.03%)
450.55            3 (0.03%)
450.56            1 (0.01%)
450.57            3 (0.03%)
450.6             2 (0.02%)
450.61            1 (0.01%)
450.62            2 (0.02%)
450.64            2 (0.02%)
450.65            1 (0.01%)
450.66            1 (0.01%)
450.67            4 (0.04%)
450.68            1 (0.01%)
450.69            3 (0.03%)
450.7             1 (0.01%)
450.71            2 (0.02%)
450.72            1 (0.01%)
450.73            1 (0.01%)
450.74            2 (0.02%)
450.75            3 (0.03%)
450.76            1 (0.01%)
450.77            1 (0.01%)
450.81            2 (0.02%)
450.82            1 (0.01%)
450.83            1 (0.01%)
450.84            2 (0.02%)
450.85            1 (0.01%)
450.86            4 (0.04%)
450.87            2 (0.02%)
450.88            3 (0.03%)
450.89            3 (0.03%)
450.92            3 (0.03%)
450.93            3 (0.03%)
450.94            1 (0.01%)
450.95            1 (0.01%)
450.96            2 (0.02%)
450.97            1 (0.01%)
450.98            2 (0.02%)
450.99            2 (0.02%)
451.0             3 (0.03%)
451.01            1 (0.01%)
451.02            1 (0.01%)
451.03            2 (0.02%)
451.04            2 (0.02%)
451.05            2 (0.02%)
451.06            2 (0.02%)
451.08            2 (0.02%)
451.09            2 (0.02%)
451.1             1 (0.01%)
451.11            1 (0.01%)
451.13            2 (0.02%)
451.14            3 (0.03%)
451.16            2 (0.02%)
451.17            1 (0.01%)
451.19            1 (0.01%)
451.2             1 (0.01%)
451.21            2 (0.02%)
451.22            1 (0.01%)
451.23            1 (0.01%)
451.24            1 (0.01%)
451.26            1 (0.01%)
451.28            2 (0.02%)
451.29            2 (0.02%)
451.3             1 (0.01%)
451.31            1 (0.01%)
